,Estimators,Time,Train Pred,Train Prob,Train Score,Test Pred,Test Prob,Test Score
0,100,7.519747734069824,[3 4 4 ... 4 4 4],"[[1.18714597e-04 2.06645585e-01 1.08381917e-01 4.30465319e-01
  2.54388464e-01]
 [2.13698707e-04 6.27712659e-02 5.09178665e-02 9.46025954e-02
  7.91494573e-01]
 [2.23135506e-04 8.57528372e-02 1.55912026e-02 3.91651172e-02
  8.59267708e-01]
 ...
 [7.90355820e-04 1.06673008e-01 5.90619716e-02 1.09445018e-01
  7.24029646e-01]
 [3.74468399e-04 4.08806452e-02 1.51333627e-02 3.00741562e-02
  9.13537367e-01]
 [3.89286582e-04 6.17643152e-02 3.59534405e-02 6.73736588e-02
  8.34519299e-01]]",0.8055972872043611,[4 4 4 ... 4 4 4],"[[3.58284772e-04 5.00649355e-02 1.74543622e-02 3.47636881e-02
  8.97358729e-01]
 [5.16824657e-04 6.37777846e-02 3.54589672e-02 6.92719004e-02
  8.30974523e-01]
 [7.11347546e-04 1.12271586e-01 4.96747069e-02 9.14770148e-02
  7.45865344e-01]
 ...
 [4.26488307e-04 1.23543800e-01 9.18041559e-02 2.08958089e-01
  5.75267467e-01]
 [5.71552870e-04 7.67565756e-02 4.40652917e-02 1.13370275e-01
  7.65236305e-01]
 [3.49024953e-04 1.92352119e-01 9.31750452e-02 1.17193810e-01
  5.96930000e-01]]",0.7837002703746621
1,125,14.299643516540527,[3 4 4 ... 4 4 4],"[[6.51597682e-05 1.15496558e-01 7.29609442e-02 6.57550774e-01
  1.53926563e-01]
 [6.58200591e-05 2.73500970e-02 3.36536511e-02 5.33753908e-02
  8.85555041e-01]
 [1.05119121e-04 1.55827608e-01 5.87296674e-03 3.24209583e-02
  8.05773348e-01]
 ...
 [9.72738390e-04 1.15679379e-01 6.63951181e-02 1.22820894e-01
  6.94131871e-01]
 [9.04570395e-05 2.02194885e-02 6.09865336e-03 1.30202649e-02
  9.60571136e-01]
 [1.75926216e-04 2.78523523e-02 1.81127615e-02 3.07038181e-02
  9.23155142e-01]]",0.8872387002618363,[4 4 4 ... 4 4 4],"[[1.43427381e-04 3.43782147e-02 1.09233985e-02 2.10369401e-02
  9.33518019e-01]
 [4.02439590e-04 6.19454543e-02 2.65458124e-02 4.02954578e-02
  8.70810836e-01]
 [7.84428072e-04 1.19422657e-01 5.25560919e-02 9.15797073e-02
  7.35657115e-01]
 ...
 [2.67489153e-04 7.08886486e-02 1.17344148e-01 3.18882309e-01
  4.92617406e-01]
 [2.62336192e-04 5.84244494e-02 2.98370260e-02 7.33276722e-02
  8.38148516e-01]
 [2.40274152e-04 2.53030340e-01 1.33145637e-01 8.49594357e-02
  5.28624314e-01]]",0.7921977597528003
2,150,20.416796445846558,[3 4 4 ... 4 4 4],"[[2.02290517e-05 1.05138701e-01 8.44763477e-02 6.83375105e-01
  1.26989618e-01]
 [5.23691325e-05 2.67144340e-02 4.41764402e-02 2.99947001e-02
  8.99062056e-01]
 [1.31552084e-05 1.76361973e-01 1.74729172e-03 2.74170929e-02
  7.94460487e-01]
 ...
 [9.62275492e-04 1.16701111e-01 6.24629318e-02 1.20854463e-01
  6.99019219e-01]
 [2.73605512e-05 8.27630468e-03 3.05982553e-03 5.49232723e-03
  9.83144182e-01]
 [1.48834765e-04 2.09407967e-02 1.05222879e-02 1.97181675e-02
  9.48669913e-01]]",0.932952740696227,[4 4 4 ... 4 4 4],"[[7.72639133e-05 1.90301184e-02 7.34383641e-03 1.50389791e-02
  9.58509802e-01]
 [3.52723766e-05 2.14336640e-02 2.46259255e-02 2.36641329e-02
  9.30241005e-01]
 [5.91740717e-04 1.32330255e-01 6.83416779e-02 7.92367325e-02
  7.19499594e-01]
 ...
 [1.02055148e-04 1.15395994e-01 1.16793609e-01 2.99066496e-01
  4.68641846e-01]
 [1.02184951e-04 3.19720480e-02 3.60319099e-02 1.07063992e-01
  8.24829865e-01]
 [1.25527953e-04 2.91840952e-01 9.70980810e-02 6.01790857e-02
  5.50756353e-01]]",0.7949015063731171
3,175,27.278869152069092,[3 4 4 ... 4 4 4],"[[1.02544382e-05 8.79633730e-02 9.26631533e-02 7.03672338e-01
  1.15690881e-01]
 [2.11496661e-05 4.99114506e-02 4.91530197e-02 5.63864440e-02
  8.44527936e-01]
 [4.03473691e-06 1.81180528e-01 1.04963156e-03 2.94468746e-02
  7.88318931e-01]
 ...
 [8.81867166e-04 9.14068219e-02 6.73255209e-02 1.08039191e-01
  7.32346599e-01]
 [7.83567431e-06 2.42895531e-03 1.30223215e-03 1.94916018e-03
  9.94311817e-01]
 [4.18640436e-05 5.91457082e-03 4.21530513e-03 7.55870679e-03
  9.82269553e-01]]",0.9546293514186376,[4 4 4 ... 4 4 4],"[[3.89752587e-05 8.88904865e-03 3.12485931e-03 1.13835383e-02
  9.76563578e-01]
 [3.01106775e-05 9.01464820e-03 7.63166734e-03 2.17929902e-02
  9.61530584e-01]
 [3.44251186e-04 1.34518067e-01 5.40393523e-02 4.69397012e-02
  7.64158629e-01]
 ...
 [4.35441368e-05 8.21270998e-02 1.25363990e-01 3.15998765e-01
  4.76466601e-01]
 [5.76506224e-03 4.41296200e-02 2.00409867e-02 1.71597190e-01
  7.58467141e-01]
 [9.00451486e-05 2.81069636e-01 8.35142271e-02 3.11365494e-02
  6.04189542e-01]]",0.7949015063731171
4,200,31.35856866836548,[3 4 4 ... 4 4 4],"[[1.21802680e-05 9.53897686e-02 7.03166870e-02 6.95651644e-01
  1.38629720e-01]
 [3.43170899e-06 5.44223290e-03 5.53036296e-02 1.56422814e-02
  9.23608424e-01]
 [0.00000000e+00 1.89230684e-01 3.61351472e-04 2.90499429e-02
  7.81358022e-01]
 ...
 [9.47794377e-04 7.44821001e-02 5.95348182e-02 8.58669868e-02
  7.79168300e-01]
 [2.45578839e-05 1.65252595e-03 8.80512851e-04 1.93668667e-03
  9.95505717e-01]
 [6.36132316e-06 1.23255241e-03 9.58153375e-04 6.88022778e-03
  9.90922705e-01]]",0.9658325106236855,[4 4 4 ... 4 4 4],"[[7.12157817e-06 3.58596662e-03 8.58255896e-04 1.92707913e-03
  9.93621577e-01]
 [0.00000000e+00 3.62878281e-02 1.06458110e-02 6.95239320e-03
  9.46113968e-01]
 [2.40172464e-04 1.04475765e-01 4.75377603e-02 5.33231461e-02
  7.94423157e-01]
 ...
 [4.47132349e-05 1.02990848e-01 9.69190900e-02 3.50118751e-01
  4.49926598e-01]
 [5.05418247e-03 2.40926130e-02 3.76524705e-02 1.70937096e-01
  7.62263638e-01]
 [3.75996241e-05 3.60687036e-01 3.91120610e-02 2.68328490e-02
  5.73330454e-01]]",0.7956740054074932
5,225,35.873143672943115,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.24444444e-01 5.33333333e-02 7.60000000e-01
  6.22222222e-02]
 [0.00000000e+00 2.27451244e-02 2.68858293e-02 2.26728115e-02
  9.27696235e-01]
 [0.00000000e+00 1.93803537e-01 0.00000000e+00 2.73756470e-02
  7.78820816e-01]
 ...
 [3.48278586e-04 6.76485479e-02 6.58928757e-02 6.05379891e-02
  8.05572309e-01]
 [1.45433392e-06 7.40700955e-04 2.43692157e-04 7.07608938e-04
  9.98306544e-01]
 [8.62916187e-06 9.60437989e-04 5.87286309e-04 1.34594421e-03
  9.97097702e-01]]",0.9743743829677641,[4 4 4 ... 4 4 4],"[[2.08561447e-06 9.89439537e-04 3.11856112e-04 9.57588296e-03
  9.89120736e-01]
 [0.00000000e+00 1.83260575e-02 1.79444953e-02 3.18233411e-02
  9.31906106e-01]
 [1.20698109e-04 1.24676416e-01 4.44268353e-02 5.51179396e-02
  7.75658111e-01]
 ...
 [4.14980807e-06 8.71926600e-02 1.28554463e-01 3.54573722e-01
  4.29675005e-01]
 [7.33807962e-06 2.80372834e-02 4.53177222e-02 1.53047447e-01
  7.73590210e-01]
 [8.60031796e-06 3.03276657e-01 1.14395476e-01 2.77572322e-02
  5.54562035e-01]]",0.7964465044418695
6,250,40.19952082633972,[3 4 4 ... 4 4 4],"[[1.92307692e-05 1.52211538e-01 8.81730769e-02 6.68048077e-01
  9.15480769e-02]
 [2.65604250e-06 1.63344324e-02 3.61715071e-02 4.84301041e-02
  8.99061300e-01]
 [0.00000000e+00 1.86678106e-01 0.00000000e+00 2.73008126e-02
  7.86021082e-01]
 ...
 [2.63436627e-04 6.64334723e-02 6.29948930e-02 4.33489743e-02
  8.26959224e-01]
 [0.00000000e+00 1.96329504e-04 9.65022152e-05 3.08583902e-04
  9.99398584e-01]
 [8.53904351e-06 4.20768555e-04 2.70994934e-04 7.08506676e-04
  9.98591191e-01]]",0.9791389449285316,[4 4 4 ... 4 4 4],"[[0.00000000e+00 4.79752892e-04 1.45889885e-04 8.54805657e-03
  9.90826301e-01]
 [2.61096606e-06 2.42940787e-02 1.21567267e-02 8.34479665e-03
  9.55201787e-01]
 [1.20075387e-04 9.68565360e-02 4.30966538e-02 5.17378256e-02
  8.08188909e-01]
 ...
 [2.70792393e-05 7.85321326e-02 1.07683151e-01 3.71303731e-01
  4.42453906e-01]
 [2.60642665e-05 2.91231794e-02 1.67152496e-02 1.33656148e-01
  8.20479359e-01]
 [1.51883720e-05 3.32155050e-01 1.01751156e-01 2.79739073e-02
  5.38104698e-01]]",0.7976052529934338
7,275,44.91852140426636,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.12727273e-01 8.72727273e-02 7.01818182e-01
  9.81818182e-02]
 [0.00000000e+00 3.27578625e-02 5.45492783e-02 3.63980499e-02
  8.76294809e-01]
 [0.00000000e+00 1.93685782e-01 0.00000000e+00 2.88467132e-02
  7.77467504e-01]
 ...
 [1.09314011e-04 5.13347409e-02 6.93998655e-02 3.66237678e-02
  8.42532312e-01]
 [0.00000000e+00 6.04397877e-05 1.94984755e-05 8.97434617e-05
  9.99830318e-01]
 [0.00000000e+00 3.71684653e-03 2.56081946e-05 4.75580757e-05
  9.96209987e-01]]",0.9822294716057861,[4 4 4 ... 4 4 4],"[[0.00000000e+00 2.62565787e-04 1.05027215e-04 7.62862814e-03
  9.92003779e-01]
 [0.00000000e+00 1.82386364e-02 1.45944357e-02 2.91986677e-02
  9.37968260e-01]
 [2.60533742e-05 1.16202521e-01 5.75164685e-02 3.29776717e-02
  7.93277286e-01]
 ...
 [4.47277200e-06 9.80017832e-02 1.30157091e-01 3.47039811e-01
  4.24796842e-01]
 [0.00000000e+00 4.02627973e-02 5.10569889e-02 1.74917222e-01
  7.33762992e-01]
 [2.11662610e-06 3.28575867e-01 1.16756685e-01 3.76278385e-02
  5.17037493e-01]]",0.7952877558903051
8,300,51.03229212760925,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.33333333e-01 9.66666667e-02 6.83333333e-01
  8.66666667e-02]
 [0.00000000e+00 2.67143170e-02 1.33764381e-02 3.00629808e-02
  9.29846264e-01]
 [0.00000000e+00 1.90437749e-01 0.00000000e+00 2.79543395e-02
  7.81607911e-01]
 ...
 [3.92535226e-05 7.06135417e-02 3.32438398e-02 2.18311405e-02
  8.74272224e-01]
 [0.00000000e+00 2.32200742e-04 6.24542660e-05 1.64901992e-04
  9.99540443e-01]
 [0.00000000e+00 4.53848575e-05 3.91638280e-05 6.76658731e-03
  9.93148864e-01]]",0.9835171910546422,[4 4 4 ... 4 4 4],"[[0.00000000e+00 3.08863065e-04 8.43927930e-05 7.08431070e-03
  9.92522433e-01]
 [0.00000000e+00 2.34014969e-02 1.00222650e-02 3.00433768e-02
  9.36532861e-01]
 [1.36238155e-05 1.00827113e-01 4.15542938e-02 3.14986735e-02
  8.26106296e-01]
 ...
 [0.00000000e+00 9.64867041e-02 1.40972334e-01 3.62158154e-01
  4.00382808e-01]
 [2.00320513e-06 3.38379866e-02 2.36300917e-02 1.57337651e-01
  7.85192267e-01]
 [2.63088661e-06 2.90634270e-01 1.03533659e-01 2.41280339e-02
  5.81701407e-01]]",0.7979915025106219
9,325,55.351876974105835,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.10769231e-01 7.69230769e-02 7.38461538e-01
  7.38461538e-02]
 [0.00000000e+00 1.84615385e-02 4.30769231e-02 2.92307692e-02
  9.09230769e-01]
 [0.00000000e+00 1.91553359e-01 0.00000000e+00 2.66718041e-02
  7.81774837e-01]
 ...
 [2.06657876e-05 3.74349217e-02 4.15370135e-02 3.19657700e-02
  8.89041629e-01]
 [0.00000000e+00 1.39437602e-05 4.64792006e-06 0.00000000e+00
  9.99981408e-01]
 [0.00000000e+00 6.07157514e-05 2.89848225e-05 1.07951099e-04
  9.99802348e-01]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[1.63753224e-06 2.78380481e-05 3.11131125e-05 6.20952225e-03
  9.93729889e-01]
 [0.00000000e+00 2.46153846e-02 2.46153846e-02 1.23076923e-02
  9.38461538e-01]
 [7.95534294e-06 1.12443919e-01 5.92375330e-02 3.01617258e-02
  7.98148867e-01]
 ...
 [0.00000000e+00 9.70018201e-02 1.17992517e-01 3.53982174e-01
  4.31023489e-01]
 [0.00000000e+00 5.24055080e-02 4.00418807e-02 1.78612090e-01
  7.28940521e-01]
 [0.00000000e+00 3.20312704e-01 4.32117273e-02 5.26944130e-02
  5.83781156e-01]]",0.7964465044418695
10,350,59.7668719291687,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.34285714e-01 6.57142857e-02 7.14285714e-01
  8.57142857e-02]
 [0.00000000e+00 2.57274958e-02 3.14342329e-02 1.14380072e-02
  9.31400264e-01]
 [0.00000000e+00 1.89363899e-01 0.00000000e+00 2.71297939e-02
  7.83506307e-01]
 ...
 [3.29867861e-06 5.29290128e-02 3.77764678e-02 2.19573117e-02
  8.87333909e-01]
 [0.00000000e+00 5.83090379e-06 0.00000000e+00 2.62077181e-05
  9.99967961e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.00000000e+00 7.92682221e-05 2.24618149e-06 5.81016485e-03
  9.94108321e-01]
 [0.00000000e+00 1.71428571e-02 2.00000000e-02 1.42857143e-02
  9.48571429e-01]
 [1.39645301e-06 1.26728925e-01 5.46456483e-02 2.97278139e-02
  7.88896216e-01]
 ...
 [0.00000000e+00 1.03653740e-01 1.30447838e-01 3.34574693e-01
  4.31323728e-01]
 [2.85714286e-03 2.86320413e-02 3.14617525e-02 1.60111415e-01
  7.76937648e-01]
 [1.90222560e-06 3.05897001e-01 8.86310572e-02 3.73055807e-02
  5.68164459e-01]]",0.7945152568559289
11,375,64.38125586509705,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.25333333e-01 1.12000000e-01 6.82666667e-01
  8.00000000e-02]
 [0.00000000e+00 2.66666667e-02 3.20000000e-02 2.93333333e-02
  9.12000000e-01]
 [0.00000000e+00 1.93543894e-01 0.00000000e+00 2.76328736e-02
  7.78823232e-01]
 ...
 [1.91708603e-06 6.99493426e-02 4.81728831e-02 2.20458704e-02
  8.59829987e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00]
 [0.00000000e+00 0.00000000e+00 2.66666667e-03 0.00000000e+00
  9.97333333e-01]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.00000000e+00 3.70370370e-05 0.00000000e+00 5.33333333e-03
  9.94629630e-01]
 [0.00000000e+00 2.13333333e-02 8.00000000e-03 3.20000000e-02
  9.38666667e-01]
 [0.00000000e+00 9.63143062e-02 4.54753455e-02 2.45622264e-02
  8.33648122e-01]
 ...
 [0.00000000e+00 7.53463108e-02 1.26492063e-01 3.70913277e-01
  4.27248349e-01]
 [0.00000000e+00 6.13832990e-02 4.00263074e-02 1.44111181e-01
  7.54479212e-01]
 [0.00000000e+00 2.88018529e-01 1.09389402e-01 4.27145339e-02
  5.59877535e-01]]",0.7960602549246814
12,400,68.50038194656372,[3 4 4 ... 4 4 4],"[[0.         0.11       0.06       0.7175     0.1125    ]
 [0.         0.025      0.025      0.0325     0.9175    ]
 [0.         0.18888084 0.         0.02743283 0.78368632]
 ...
 [0.         0.06516277 0.05006796 0.01518902 0.86958025]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.         0.         1.        ]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.         0.         0.01512764 0.98487236]
 [0.         0.03       0.015      0.015      0.94      ]
 [0.         0.13501903 0.035014   0.03253225 0.79743472]
 ...
 [0.         0.095625   0.1180119  0.36258929 0.42377381]
 [0.         0.0325     0.04       0.1625     0.765     ]
 [0.         0.28       0.1        0.03       0.59      ]]",0.7945152568559289
13,425,75.69256019592285,[3 4 4 ... 4 4 4],"[[0.         0.09882353 0.08705882 0.69176471 0.12235294]
 [0.         0.02823529 0.03764706 0.03058824 0.90352941]
 [0.         0.19577514 0.         0.02682443 0.77740043]
 ...
 [0.         0.06825187 0.04236578 0.01650232 0.87288003]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.00470588 0.         0.99529412]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.         0.         0.00470588 0.99529412]
 [0.         0.01411765 0.00470588 0.02352941 0.95764706]
 [0.         0.11765176 0.05411951 0.01883838 0.80939036]
 ...
 [0.         0.1        0.13878431 0.36571429 0.3955014 ]
 [0.         0.03058824 0.02352941 0.15058824 0.79529412]
 [0.         0.27764706 0.10823529 0.04       0.57411765]]",0.7941290073387408
14,450,77.544118642807,[3 4 4 ... 4 4 4],"[[0.         0.10222222 0.09777778 0.71555556 0.08444444]
 [0.         0.02222222 0.03111111 0.03333333 0.91333333]
 [0.         0.19166036 0.         0.02708835 0.78125129]
 ...
 [0.         0.06667433 0.03111111 0.02667077 0.87554379]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.00222222 0.00222222 0.99555556]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.00239536 0.         0.00231056 0.99529407]
 [0.         0.02       0.02       0.02444444 0.93555556]
 [0.         0.11333333 0.07333333 0.02888889 0.78444444]
 ...
 [0.         0.09648148 0.15469048 0.32932011 0.41950794]
 [0.         0.02888889 0.02888889 0.16888889 0.77333333]
 [0.         0.28222222 0.08888889 0.05333333 0.57555556]]",0.7972190034762456
15,475,81.66202139854431,[3 4 4 ... 4 4 4],"[[0.         0.12210526 0.07368421 0.74105263 0.06315789]
 [0.         0.01052632 0.03157895 0.02736842 0.93052632]
 [0.         0.1932855  0.         0.02660923 0.78010527]
 ...
 [0.         0.05894737 0.04421053 0.02105263 0.87578947]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.         0.00210526 0.99789474]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.00842105 0.         0.00421053 0.98736842]
 [0.         0.01684211 0.02105263 0.02947368 0.93263158]
 [0.         0.11789474 0.06736842 0.02105263 0.79368421]
 ...
 [0.         0.11859649 0.1199198  0.34558396 0.41589975]
 [0.         0.04       0.02947368 0.13894737 0.79157895]
 [0.         0.30526316 0.09263158 0.04       0.56210526]]",0.7960602549246814
